input_cif,action_prompt,output_cif
mp-1013842.cif,Rotate all surrounding atoms within 3.7151810275808854 of the center atom at index 71 by 256.00992559877136 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1013842_processed.cif
mp-1015026.cif,Rotate all surrounding atoms within 3.7942905153479813 of the center atom at index 11 by 123.9435933908442 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1015026_processed.cif
mp-1016569.cif,Rotate all surrounding atoms within 3.415224186569176 of the center atom at index 2 by 167.90059717301142 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1016569_processed.cif
mp-1016660.cif,Rotate all surrounding atoms within 3.5515604680592334 of the center atom at index 11 by 159.16110436702823 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1016660_processed.cif
mp-1020181.cif,Rotate all surrounding atoms within 2.7752611452544507 of the center atom at index 7 by 201.71105711424528 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1020181_processed.cif
mp-1020716.cif,Rotate all surrounding atoms within 2.076822622650119 of the center atom at index 22 by 90.26401825566298 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1020716_processed.cif
mp-1021278.cif,Rotate all surrounding atoms within 3.997717604883592 of the center atom at index 11 by 211.01966402415917 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1021278_processed.cif
mp-1021658.cif,Rotate all surrounding atoms within 3.2855191019200847 of the center atom at index 8 by 99.33491299550533 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1021658_processed.cif
mp-1021682.cif,Rotate all surrounding atoms within 3.172254933425538 of the center atom at index 12 by 73.98459329674247 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1021682_processed.cif
mp-1022203.cif,Rotate all surrounding atoms within 3.5406445678220275 of the center atom at index 11 by 98.76927463962893 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1022203_processed.cif
mp-1026634.cif,Rotate all surrounding atoms within 3.3619217071049774 of the center atom at index 10 by 168.61809760538262 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026634_processed.cif
mp-1026773.cif,Rotate all surrounding atoms within 3.8390718203834715 of the center atom at index 15 by 45.56631461220165 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026773_processed.cif
mp-1026775.cif,Rotate all surrounding atoms within 3.4455869099296437 of the center atom at index 3 by 164.3626298099917 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1026775_processed.cif
mp-1026818.cif,Rotate all surrounding atoms within 3.6223072554124025 of the center atom at index 12 by 95.6656661759228 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1026818_processed.cif
mp-1026852.cif,Rotate all surrounding atoms within 3.564413427986944 of the center atom at index 0 by 306.05978311519596 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1026852_processed.cif
mp-1026901.cif,Rotate all surrounding atoms within 3.557064352923451 of the center atom at index 2 by 212.60239251076774 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026901_processed.cif
mp-1027134.cif,Rotate all surrounding atoms within 2.898100418324406 of the center atom at index 0 by 219.93353042519558 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1027134_processed.cif
mp-1027152.cif,Rotate all surrounding atoms within 2.9536238293158568 of the center atom at index 10 by 275.39992437357097 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1027152_processed.cif
mp-1027852.cif,Rotate all surrounding atoms within 3.6407877536227558 of the center atom at index 10 by 209.5394108319741 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1027852_processed.cif
mp-1027965.cif,Rotate all surrounding atoms within 3.9822242970039556 of the center atom at index 13 by 104.79068371674833 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1027965_processed.cif
mp-1027971.cif,Rotate all surrounding atoms within 3.3263035045529277 of the center atom at index 5 by 211.9075298285075 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1027971_processed.cif
mp-1028124.cif,Rotate all surrounding atoms within 3.2623207750998238 of the center atom at index 4 by 107.75910637963479 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1028124_processed.cif
mp-1028136.cif,Rotate all surrounding atoms within 3.874363232438538 of the center atom at index 0 by 260.68683707690866 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1028136_processed.cif
mp-1028229.cif,Rotate all surrounding atoms within 3.5963264672769255 of the center atom at index 3 by 153.6439377324137 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1028229_processed.cif
mp-1028374.cif,Rotate all surrounding atoms within 3.859761858945248 of the center atom at index 7 by 93.83657828890048 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1028374_processed.cif
mp-1028383.cif,Rotate all surrounding atoms within 3.801455827679191 of the center atom at index 0 by 93.89617209865759 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1028383_processed.cif
mp-1028854.cif,Rotate all surrounding atoms within 3.6071704754261598 of the center atom at index 4 by 144.65716642871 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1028854_processed.cif
mp-1029113.cif,Rotate all surrounding atoms within 3.8534251730878886 of the center atom at index 4 by 231.35668982228836 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1029113_processed.cif
mp-1029368.cif,Rotate all surrounding atoms within 1.9172669123295305 of the center atom at index 11 by 152.71023245851572 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1029368_processed.cif
mp-1031131.cif,Rotate all surrounding atoms within 3.887102134853359 of the center atom at index 2 by 210.10835379627048 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1031131_processed.cif
mp-1032360.cif,Rotate all surrounding atoms within 3.1301104209913775 of the center atom at index 8 by 127.41314610070948 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1032360_processed.cif
mp-1033383.cif,Rotate all surrounding atoms within 3.452148085687349 of the center atom at index 10 by 248.37465337604038 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1033383_processed.cif
mp-1034355.cif,Rotate all surrounding atoms within 3.5258185163915936 of the center atom at index 2 by 249.2790343293951 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1034355_processed.cif
mp-1035597.cif,Rotate all surrounding atoms within 3.3211651710190617 of the center atom at index 14 by 187.33536862627673 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1035597_processed.cif
mp-1035800.cif,Rotate all surrounding atoms within 3.2914996375230334 of the center atom at index 13 by 63.991444640694326 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1035800_processed.cif
mp-1037450.cif,Rotate all surrounding atoms within 3.8883596376688825 of the center atom at index 29 by 151.96547938369653 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1037450_processed.cif
mp-1038247.cif,Rotate all surrounding atoms within 3.893224118423701 of the center atom at index 20 by 139.97252929430067 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1038247_processed.cif
mp-1038590.cif,Rotate all surrounding atoms within 3.5138955744507596 of the center atom at index 38 by 165.73172849629321 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1038590_processed.cif
mp-1038638.cif,Rotate all surrounding atoms within 2.9507390223614016 of the center atom at index 28 by 144.28029052092302 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1038638_processed.cif
mp-1039951.cif,Rotate all surrounding atoms within 3.65629687233242 of the center atom at index 51 by 61.87095106168819 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1039951_processed.cif
mp-1040370.cif,Rotate all surrounding atoms within 2.844995084624556 of the center atom at index 58 by 298.7770256100424 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1040370_processed.cif
mp-1041045.cif,Rotate all surrounding atoms within 3.2112419879960816 of the center atom at index 50 by 77.06607107957026 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1041045_processed.cif
mp-1041056.cif,Rotate all surrounding atoms within 3.5545240716279407 of the center atom at index 48 by 153.33421635901635 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1041056_processed.cif
mp-1041213.cif,Rotate all surrounding atoms within 2.6980360878198626 of the center atom at index 40 by 179.0141666930452 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1041213_processed.cif
mp-1042028.cif,Rotate all surrounding atoms within 2.194705020666388 of the center atom at index 8 by 301.9889644812696 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042028_processed.cif
