input_cif,action_prompt,output_cif
mp-1013842.cif,Create a supercell with the size 1X2X1.,mp-1013842_processed.cif
mp-1015026.cif,Create a supercell with the size 1*4*1.,mp-1015026_processed.cif
mp-1016569.cif,Create a supercell with the size 4×2×1.,mp-1016569_processed.cif
mp-1016660.cif,Create a supercell with the size 3×2×1.,mp-1016660_processed.cif
mp-1020181.cif,Create a supercell with the size 3X1X2.,mp-1020181_processed.cif
mp-1020716.cif,Create a supercell with the size 2X2X1.,mp-1020716_processed.cif
mp-1021278.cif,Create a supercell with the size 2X3X1.,mp-1021278_processed.cif
mp-1021658.cif,Create a supercell with the size 1X3X2.,mp-1021658_processed.cif
mp-1021682.cif,Create a supercell with the size 1×2×1.,mp-1021682_processed.cif
mp-1022203.cif,Create a supercell with the size 2*1*1.,mp-1022203_processed.cif
mp-1026634.cif,Create a supercell with the size 1*2*3.,mp-1026634_processed.cif
mp-1026773.cif,Create a supercell with the size 1×2×2.,mp-1026773_processed.cif
mp-1026775.cif,Create a supercell with the size 2*1*1.,mp-1026775_processed.cif
mp-1026818.cif,Create a supercell with the size 2X2X2.,mp-1026818_processed.cif
mp-1026852.cif,Create a supercell with the size 1 by 1 by 2.,mp-1026852_processed.cif
mp-1026901.cif,Create a supercell with the size 2*1*2.,mp-1026901_processed.cif
mp-1027134.cif,Create a supercell with the size 2×3×1.,mp-1027134_processed.cif
mp-1027152.cif,Create a supercell with the size 2×1×4.,mp-1027152_processed.cif
mp-1027852.cif,Create a supercell with the size 2×1×2.,mp-1027852_processed.cif
mp-1027965.cif,Create a supercell with the size 1x4x1.,mp-1027965_processed.cif
mp-1027971.cif,Create a supercell with the size 4x2x1.,mp-1027971_processed.cif
mp-1028124.cif,Create a supercell with the size 1*2*1.,mp-1028124_processed.cif
mp-1028136.cif,Create a supercell with the size 1 by 2 by 4.,mp-1028136_processed.cif
mp-1028229.cif,Create a supercell with the size 1*2*2.,mp-1028229_processed.cif
mp-1028374.cif,Create a supercell with the size 2X1X4.,mp-1028374_processed.cif
mp-1028383.cif,Create a supercell with the size 2*3*1.,mp-1028383_processed.cif
mp-1028854.cif,Create a supercell with the size 1x4x1.,mp-1028854_processed.cif
mp-1029113.cif,Create a supercell with the size 4X2X1.,mp-1029113_processed.cif
mp-1029368.cif,Create a supercell with the size 1X3X2.,mp-1029368_processed.cif
mp-1031131.cif,Create a supercell with the size 4×1×2.,mp-1031131_processed.cif
mp-1032360.cif,Create a supercell with the size 1×2×4.,mp-1032360_processed.cif
mp-1033383.cif,Create a supercell with the size 4 by 2 by 1.,mp-1033383_processed.cif
mp-1034355.cif,Create a supercell with the size 2x1x4.,mp-1034355_processed.cif
mp-1035597.cif,Create a supercell with the size 1×3×2.,mp-1035597_processed.cif
mp-1035800.cif,Create a supercell with the size 1 by 2 by 2.,mp-1035800_processed.cif
mp-1037450.cif,Create a supercell with the size 1X2X3.,mp-1037450_processed.cif
mp-1038247.cif,Create a supercell with the size 1*1*3.,mp-1038247_processed.cif
mp-1038590.cif,Create a supercell with the size 1X3X1.,mp-1038590_processed.cif
mp-1038638.cif,Create a supercell with the size 2×2×2.,mp-1038638_processed.cif
mp-1039951.cif,Create a supercell with the size 3×1×1.,mp-1039951_processed.cif
mp-1040370.cif,Create a supercell with the size 2X1X3.,mp-1040370_processed.cif
mp-1041045.cif,Create a supercell with the size 1X3X2.,mp-1041045_processed.cif
mp-1041056.cif,Create a supercell with the size 1x1x4.,mp-1041056_processed.cif
mp-1041213.cif,Create a supercell with the size 2×3×1.,mp-1041213_processed.cif
mp-1042028.cif,Create a supercell with the size 1x2x2.,mp-1042028_processed.cif
mp-1042158.cif,Create a supercell with the size 1x1x3.,mp-1042158_processed.cif
mp-1042205.cif,Create a supercell with the size 2 by 1 by 3.,mp-1042205_processed.cif
mp-1042378.cif,Create a supercell with the size 3*1*1.,mp-1042378_processed.cif
mp-1042415.cif,Create a supercell with the size 2X1X1.,mp-1042415_processed.cif
mp-1042656.cif,Create a supercell with the size 1X2X3.,mp-1042656_processed.cif
mp-1042677.cif,Create a supercell with the size 1×1×4.,mp-1042677_processed.cif
mp-1042685.cif,Create a supercell with the size 1 by 1 by 2.,mp-1042685_processed.cif
mp-1042896.cif,Create a supercell with the size 1*1*3.,mp-1042896_processed.cif
mp-1043828.cif,Create a supercell with the size 1x2x3.,mp-1043828_processed.cif
mp-1044049.cif,Create a supercell with the size 1x3x1.,mp-1044049_processed.cif
mp-1044636.cif,Create a supercell with the size 3×1×2.,mp-1044636_processed.cif
mp-1045786.cif,Create a supercell with the size 1×1×4.,mp-1045786_processed.cif
mp-1045992.cif,Create a supercell with the size 1x1x3.,mp-1045992_processed.cif
mp-1046286.cif,Create a supercell with the size 2×1×1.,mp-1046286_processed.cif
mp-1047007.cif,Create a supercell with the size 3×1×1.,mp-1047007_processed.cif
mp-1047085.cif,Create a supercell with the size 4X1X2.,mp-1047085_processed.cif
mp-1047504.cif,Create a supercell with the size 2 by 1 by 3.,mp-1047504_processed.cif
mp-1047641.cif,Create a supercell with the size 2 by 2 by 2.,mp-1047641_processed.cif
mp-1047798.cif,Create a supercell with the size 1X2X2.,mp-1047798_processed.cif
mp-1048141.cif,Create a supercell with the size 1X3X2.,mp-1048141_processed.cif
mp-1048241.cif,Create a supercell with the size 2*1*2.,mp-1048241_processed.cif
mp-1048742.cif,Create a supercell with the size 2X1X4.,mp-1048742_processed.cif
mp-1048819.cif,Create a supercell with the size 2x3x1.,mp-1048819_processed.cif
mp-10543.cif,Create a supercell with the size 1 by 2 by 4.,mp-10543_processed.cif
mp-1073454.cif,Create a supercell with the size 1*3*2.,mp-1073454_processed.cif
mp-1073857.cif,Create a supercell with the size 4×1×1.,mp-1073857_processed.cif
mp-1074382.cif,Create a supercell with the size 1x4x2.,mp-1074382_processed.cif
mp-1075115.cif,Create a supercell with the size 2x1x3.,mp-1075115_processed.cif
mp-1076171.cif,Create a supercell with the size 2*3*1.,mp-1076171_processed.cif
mp-1076264.cif,Create a supercell with the size 3*1*1.,mp-1076264_processed.cif
mp-1080179.cif,Create a supercell with the size 2*4*1.,mp-1080179_processed.cif
mp-1080349.cif,Create a supercell with the size 4*1*1.,mp-1080349_processed.cif
mp-1080354.cif,Create a supercell with the size 2*1*1.,mp-1080354_processed.cif
mp-1080713.cif,Create a supercell with the size 3x1x1.,mp-1080713_processed.cif
mp-1094804.cif,Create a supercell with the size 1 by 1 by 3.,mp-1094804_processed.cif
mp-1095083.cif,Create a supercell with the size 2X2X1.,mp-1095083_processed.cif
mp-1095476.cif,Create a supercell with the size 1*1*3.,mp-1095476_processed.cif
mp-1095575.cif,Create a supercell with the size 2X3X1.,mp-1095575_processed.cif
mp-1095585.cif,Create a supercell with the size 2 by 1 by 3.,mp-1095585_processed.cif
mp-1095643.cif,Create a supercell with the size 1X2X1.,mp-1095643_processed.cif
mp-1095675.cif,Create a supercell with the size 2X1X4.,mp-1095675_processed.cif
mp-1095677.cif,Create a supercell with the size 1x1x3.,mp-1095677_processed.cif
mp-1096913.cif,Create a supercell with the size 1x3x1.,mp-1096913_processed.cif
mp-1099100.cif,Create a supercell with the size 2*1*1.,mp-1099100_processed.cif
mp-1100340.cif,Create a supercell with the size 1×2×3.,mp-1100340_processed.cif
mp-1100512.cif,Create a supercell with the size 1X3X1.,mp-1100512_processed.cif
mp-1100602.cif,Create a supercell with the size 1×1×2.,mp-1100602_processed.cif
mp-1100645.cif,Create a supercell with the size 4x2x1.,mp-1100645_processed.cif
mp-1100655.cif,Create a supercell with the size 2x4x1.,mp-1100655_processed.cif
mp-1100709.cif,Create a supercell with the size 4x2x1.,mp-1100709_processed.cif
mp-1100895.cif,Create a supercell with the size 1*2*3.,mp-1100895_processed.cif
mp-1101365.cif,Create a supercell with the size 3x1x1.,mp-1101365_processed.cif
mp-1101490.cif,Create a supercell with the size 4 by 1 by 1.,mp-1101490_processed.cif
mp-1101729.cif,Create a supercell with the size 1X4X1.,mp-1101729_processed.cif
mp-1101899.cif,Create a supercell with the size 2 by 2 by 1.,mp-1101899_processed.cif
mp-1102433.cif,Create a supercell with the size 3 by 1 by 1.,mp-1102433_processed.cif
mp-1102534.cif,Create a supercell with the size 1 by 2 by 2.,mp-1102534_processed.cif
mp-1102795.cif,Create a supercell with the size 1*4*2.,mp-1102795_processed.cif
