structure_name,bandgap_qwen3_32B,bulkmodulus_qwen3_32B,bandgap_qwen3_4B,bulkmodulus_qwen3_4B,bandgap_deepseek_chat,bulkmodulus_deepseek_chat,bandgap_o4_mini,bulkmodulus_o4_mini,bandgap_qwen3_14B,bulkmodulus_qwen3_14B,bandgap_qwen3_8B,bulkmodulus_qwen3_8B,bandgap_llama3_70B,bulkmodulus_llama3_70B,bandgap_o3,bulkmodulus_o3,bandgap_gemini_2_5_pro,bulkmodulus_gemini_2_5_pro
mp-160_sg_166_formula_B,false,Structure same,false,Structure same,LLM fail,DFT Unreasonable,false,true,false,Structure same,false,LLM fail,false,Structure same,false,false,false,true
mp-239_sg_113_formula_BaS3,false,true,false,false,false,true,true,LLM fail,LLM fail,true,false,true,true,true,false,true,true,true
mp-288_sg_131_formula_PtS,true,true,true,Structure same,true,true,LLM fail,LLM fail,false,Structure same,DFT fail,LLM fail,false,Structure same,true,true,true,Structure same
mp-306_sg_152_formula_B2O3,true,false,true,Structure same,LLM fail,DFT fail,LLM fail,false,true,false,true,Structure same,true,Structure same,true,DFT fail,true,false
mp-361_sg_224_formula_Cu2O,false,false,false,DFT fail,false,LLM fail,LLM fail,Structure same,false,Structure same,false,Structure same,true,Structure same,true,Structure same,false,Structure same
mp-468_sg_167_formula_AlF3,true,DFT fail,Structure same,true,LLM fail,false,true,Structure same,true,Structure same,true,Structure same,true,Structure same,true,false,true,DFT Unreasonable
mp-470_sg_136_formula_GeO2,true,true,true,Structure same,false,true,LLM fail,true,false,Structure same,true,true,false,Structure same,true,Structure same,true,true
mp-471_sg_98_formula_CdAs2,true,true,true,DFT fail,false,true,LLM fail,DFT Unreasonable,true,true,true,true,true,LLM fail,false,DFT Unreasonable,true,true
mp-539_sg_9_formula_Ga2S3,false,false,false,Structure same,false,true,true,true,true,Structure same,false,Structure same,false,Structure same,true,DFT Unreasonable,true,true
mp-661_sg_186_formula_AlN,false,Structure same,false,DFT Unreasonable,DFT fail,Structure same,LLM fail,LLM fail,false,Structure same,false,true,false,Structure same,true,true,true,true
