input_cif,action_prompt,output_cif
mp-1013842.cif,Rotate all surrounding atoms within 2.5475185147048096 angstrom of the center atom at index 2 by 94.38347563086853 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1013842_processed.cif
mp-1015026.cif,Rotate all surrounding atoms within 3.903039619083253 angstrom of the center atom at index 8 by 175.35026134237924 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1015026_processed.cif
mp-1016569.cif,Rotate all surrounding atoms within 3.1100394471936763 angstrom of the center atom at index 1 by 227.90785085927044 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1016569_processed.cif
mp-1016660.cif,Rotate all surrounding atoms within 2.9531440262603987 angstrom of the center atom at index 14 by 234.49471923798745 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1016660_processed.cif
mp-1020181.cif,Rotate all surrounding atoms within 2.625475379373051 angstrom of the center atom at index 22 by 96.59883864604528 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1020181_processed.cif
mp-1020716.cif,Rotate all surrounding atoms within 3.151717886812442 angstrom of the center atom at index 16 by 88.76438402366239 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1020716_processed.cif
mp-1021278.cif,Rotate all surrounding atoms within 3.4219762979183685 angstrom of the center atom at index 7 by 104.37744936855071 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1021278_processed.cif
mp-1021658.cif,Rotate all surrounding atoms within 3.508577048246325 angstrom of the center atom at index 3 by 178.01106250194067 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1021658_processed.cif
mp-1021682.cif,Rotate all surrounding atoms within 3.6731325477972816 angstrom of the center atom at index 6 by 141.96954859816145 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1021682_processed.cif
mp-1022203.cif,Rotate all surrounding atoms within 3.916240407924814 angstrom of the center atom at index 13 by 49.70382534704493 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1022203_processed.cif
mp-1026634.cif,Rotate all surrounding atoms within 3.420809503314463 angstrom of the center atom at index 2 by 179.59286001705604 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1026634_processed.cif
mp-1026773.cif,Rotate all surrounding atoms within 3.680559095645247 angstrom of the center atom at index 3 by 294.6023936918659 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1026773_processed.cif
mp-1026775.cif,Rotate all surrounding atoms within 3.6022489587060047 angstrom of the center atom at index 3 by 246.71098915990984 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026775_processed.cif
mp-1026818.cif,Rotate all surrounding atoms within 3.1581310458091174 angstrom of the center atom at index 6 by 89.97200700668294 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1026818_processed.cif
mp-1026852.cif,Rotate all surrounding atoms within 3.4238698559326246 angstrom of the center atom at index 5 by 80.79848369692145 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026852_processed.cif
mp-1026901.cif,Rotate all surrounding atoms within 3.331235449986973 angstrom of the center atom at index 7 by 190.80550623712563 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1026901_processed.cif
mp-1027134.cif,Rotate all surrounding atoms within 3.563226317317919 angstrom of the center atom at index 9 by 243.59535035018934 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1027134_processed.cif
mp-1027152.cif,Rotate all surrounding atoms within 3.4997874928634336 angstrom of the center atom at index 8 by 227.7384823764842 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1027152_processed.cif
mp-1027852.cif,Rotate all surrounding atoms within 3.6732726479779205 angstrom of the center atom at index 13 by 314.1319589867571 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1027852_processed.cif
mp-1027965.cif,Rotate all surrounding atoms within 3.6195830562226297 angstrom of the center atom at index 8 by 207.43322540606354 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1027965_processed.cif
mp-1027971.cif,Rotate all surrounding atoms within 3.408098386294865 angstrom of the center atom at index 10 by 268.3562149703016 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1027971_processed.cif
mp-1028124.cif,Rotate all surrounding atoms within 3.374167351135779 angstrom of the center atom at index 14 by 263.06488807990013 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1028124_processed.cif
mp-1028136.cif,Rotate all surrounding atoms within 3.4034635393817134 angstrom of the center atom at index 13 by 122.85309806754893 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1028136_processed.cif
mp-1028229.cif,Rotate all surrounding atoms within 3.7814368668422444 angstrom of the center atom at index 15 by 63.67778900307817 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1028229_processed.cif
mp-1028374.cif,Rotate all surrounding atoms within 3.369787079813131 angstrom of the center atom at index 7 by 297.2336879672514 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1028374_processed.cif
mp-1028383.cif,Rotate all surrounding atoms within 3.0762962652545602 angstrom of the center atom at index 9 by 235.7310766048555 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1028383_processed.cif
mp-1028854.cif,Rotate all surrounding atoms within 3.1169565393634073 angstrom of the center atom at index 4 by 172.56683690192682 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1028854_processed.cif
mp-1029113.cif,Rotate all surrounding atoms within 3.4358201015766494 angstrom of the center atom at index 7 by 54.87164784009051 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1029113_processed.cif
mp-1029368.cif,Rotate all surrounding atoms within 3.6680528017657412 angstrom of the center atom at index 9 by 94.17753318159893 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1029368_processed.cif
mp-1031131.cif,Rotate all surrounding atoms within 3.1054111022049384 angstrom of the center atom at index 15 by 227.61370814684946 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1031131_processed.cif
mp-1032360.cif,Rotate all surrounding atoms within 3.866810349988716 angstrom of the center atom at index 9 by 57.50908273117533 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1032360_processed.cif
mp-1033383.cif,Rotate all surrounding atoms within 3.452218369927276 angstrom of the center atom at index 5 by 49.42079659333878 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1033383_processed.cif
mp-1034355.cif,Rotate all surrounding atoms within 2.709198786434501 angstrom of the center atom at index 15 by 150.17042366746247 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1034355_processed.cif
mp-1035597.cif,Rotate all surrounding atoms within 2.1750220283907273 angstrom of the center atom at index 21 by 255.71546273404087 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1035597_processed.cif
mp-1035800.cif,Rotate all surrounding atoms within 3.2846597876170818 angstrom of the center atom at index 27 by 73.20165820583813 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1035800_processed.cif
mp-1037450.cif,Rotate all surrounding atoms within 3.1931307421041204 angstrom of the center atom at index 42 by 115.24774514727461 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1037450_processed.cif
mp-1038247.cif,Rotate all surrounding atoms within 2.683756732657753 angstrom of the center atom at index 50 by 76.09112071427504 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1038247_processed.cif
mp-1038590.cif,Rotate all surrounding atoms within 2.6521803933314283 angstrom of the center atom at index 53 by 73.45558735649026 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1038590_processed.cif
mp-1038638.cif,Rotate all surrounding atoms within 3.6181879183493106 angstrom of the center atom at index 61 by 136.85758326692905 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1038638_processed.cif
mp-1039951.cif,Rotate all surrounding atoms within 3.883670185199202 angstrom of the center atom at index 7 by 225.2855795236854 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1039951_processed.cif
mp-1040370.cif,Rotate all surrounding atoms within 3.8678270071140908 angstrom of the center atom at index 57 by 276.46026218328336 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1040370_processed.cif
mp-1041045.cif,Rotate all surrounding atoms within 1.5851951817710055 angstrom of the center atom at index 18 by 164.08674298872432 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1041045_processed.cif
mp-1041056.cif,Rotate all surrounding atoms within 2.431846069974824 angstrom of the center atom at index 44 by 47.49439241807821 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1041056_processed.cif
mp-1041213.cif,Rotate all surrounding atoms within 3.280427003061276 angstrom of the center atom at index 20 by 227.59067656834404 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1041213_processed.cif
mp-1042028.cif,Rotate all surrounding atoms within 3.6011196607201805 angstrom of the center atom at index 3 by 204.23380409053826 degree around the axis [0. 0. 1.] in the cif file. The rotation should following the right-hand rule.,mp-1042028_processed.cif
mp-1042158.cif,Rotate all surrounding atoms within 3.2092256764320473 angstrom of the center atom at index 5 by 173.34012803833824 degree around the axis [ 0. -1.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042158_processed.cif
mp-1042205.cif,Rotate all surrounding atoms within 3.5107495963618174 angstrom of the center atom at index 1 by 87.90392516386476 degree around the axis [1. 0. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042205_processed.cif
mp-1042378.cif,Rotate all surrounding atoms within 2.934818236667827 angstrom of the center atom at index 38 by 151.5025359136289 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1042378_processed.cif
mp-1042415.cif,Rotate all surrounding atoms within 3.4603666143166896 angstrom of the center atom at index 60 by 216.01324097763407 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042415_processed.cif
mp-1042656.cif,Rotate all surrounding atoms within 2.302579719274111 angstrom of the center atom at index 8 by 154.46032996162097 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1042656_processed.cif
mp-1042677.cif,Rotate all surrounding atoms within 3.0376458941958453 angstrom of the center atom at index 30 by 61.743896043116294 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1042677_processed.cif
mp-1042685.cif,Rotate all surrounding atoms within 2.1945867709331432 angstrom of the center atom at index 68 by 160.25683983574646 degree around the axis [ 0.  0. -1.] in the cif file. The rotation should following the right-hand rule.,mp-1042685_processed.cif
mp-1042896.cif,Rotate all surrounding atoms within 3.729115420518258 angstrom of the center atom at index 8 by 119.42413364232452 degree around the axis [0. 1. 0.] in the cif file. The rotation should following the right-hand rule.,mp-1042896_processed.cif
mp-1043828.cif,Rotate all surrounding atoms within 2.5283898401316125 angstrom of the center atom at index 0 by 140.8007009386328 degree around the axis [-1.  0.  0.] in the cif file. The rotation should following the right-hand rule.,mp-1043828_processed.cif
